Date,price_coffee,price_oil,prediction
2023-06-19,2833.0,71.31,2364.8604
2023-06-20,2807.0,70.5,2374.9402
2023-06-21,2759.0,72.53,2386.9705
2023-06-22,2792.0,69.51,2390.4092
2023-06-23,2738.0,69.16,2387.0864
2023-06-26,2900.0,69.37,2378.5618
2023-06-27,2930.0,67.7,2379.2983
2023-06-28,2818.0,69.56,2390.091
2023-06-29,2777.0,69.86,2403.831
2023-06-30,2697.0,70.64,2408.601
2023-07-03,2750.0,69.79,2398.6475
2023-07-04,2744.0,71.06,2381.0066
2023-07-05,2713.0,71.79,2365.011
2023-07-06,2510.0,71.8,2354.7664
